answer_id,question_id,answer_index,answer_pl,answer_en,answer_style,axis_primary_delta,axis_secondary_delta,hidden_parameter_delta,rarity_weight,comparison_insight_pl,comparison_insight_en,top_archetype,archetype_sum_check,A01,A02,A03,A04,A05,A06,A07,A08,A09,A10,A11,A12
TO99Q0012_A1,TO99Q0012,1,"Szukam odpowiedzi przez relację z ktoś, kto mówi prawdę za późno.",I look for the answer through my relationship with someone who tells the truth too late.,relational,1,0,2,1.16,Szacowany sygnał: ta odpowiedź wzmacnia wzorzec relational bez ujawniania archetypu użytkownikowi.,Estimated signal: this answer strengthens a relational pattern without exposing the user's archetype.,A07,100,3,3,14,10,7,4,29,5,2,3,6,14
TO99Q0012_A2,TO99Q0012,2,"Rozkładam sytuację na fakty, ryzyko i konsekwencje.","I break the situation into facts, risk and consequences.",analytical,0,-1,0,1.19,Szacowany sygnał: ta odpowiedź wzmacnia wzorzec analytical bez ujawniania archetypu użytkownikowi.,Estimated signal: this answer strengthens a analytical pattern without exposing the user's archetype.,A01,100,25,14,6,2,8,6,3,1,15,4,11,5
TO99Q0012_A3,TO99Q0012,3,"Wybieram ruch, który otwiera nową możliwość.",I choose the move that opens a new possibility.,bold,1,3,3,1.21,Szacowany sygnał: ta odpowiedź wzmacnia wzorzec bold bez ujawniania archetypu użytkownikowi.,Estimated signal: this answer strengthens a bold pattern without exposing the user's archetype.,A11,100,9,4,6,4,5,12,4,13,1,14,23,5
TO99Q0012_A4,TO99Q0012,4,"Zatrzymuję się przy obrazie, który we mnie zostaje.",I stay with the image that remains in me.,symbolic,-1,1,0,1.24,Szacowany sygnał: ta odpowiedź wzmacnia wzorzec symbolic bez ujawniania archetypu użytkownikowi.,Estimated signal: this answer strengthens a symbolic pattern without exposing the user's archetype.,A12,100,11,3,8,3,7,8,5,4,3,6,10,32
TO99Q0013_A1,TO99Q0013,1,Szukam odpowiedzi przez relację z nieznajomy.,I look for the answer through my relationship with a stranger.,relational,1,0,2,1.4,Szacowany sygnał: ta odpowiedź wzmacnia wzorzec relational bez ujawniania archetypu użytkownikowi.,Estimated signal: this answer strengthens a relational pattern without exposing the user's archetype.,A04,100,6,4,11,24,4,1,12,16,6,4,3,9
TO99Q0013_A2,TO99Q0013,2,"Rozkładam sytuację na fakty, ryzyko i konsekwencje.","I break the situation into facts, risk and consequences.",analytical,0,-1,0,1.43,Szacowany sygnał: ta odpowiedź wzmacnia wzorzec analytical bez ujawniania archetypu użytkownikowi.,Estimated signal: this answer strengthens a analytical pattern without exposing the user's archetype.,A01,100,28,12,5,5,12,3,2,5,9,2,4,13
TO99Q0013_A3,TO99Q0013,3,"Wybieram ruch, który otwiera nową możliwość.",I choose the move that opens a new possibility.,bold,1,3,3,1.45,Szacowany sygnał: ta odpowiedź wzmacnia wzorzec bold bez ujawniania archetypu użytkownikowi.,Estimated signal: this answer strengthens a bold pattern without exposing the user's archetype.,A06,100,2,5,5,7,2,34,2,11,12,9,8,3
TO99Q0013_A4,TO99Q0013,4,"Zatrzymuję się przy obrazie, który we mnie zostaje.",I stay with the image that remains in me.,symbolic,-1,1,0,1.48,Szacowany sygnał: ta odpowiedź wzmacnia wzorzec symbolic bez ujawniania archetypu użytkownikowi.,Estimated signal: this answer strengthens a symbolic pattern without exposing the user's archetype.,A01,100,20,5,7,5,4,15,5,4,6,2,14,13
TO99Q0014_A1,TO99Q0014,1,"Szukam odpowiedzi przez relację z osoba, której nie umiesz odmówić.",I look for the answer through my relationship with someone you struggle to refuse.,relational,1,0,2,1.52,Szacowany sygnał: ta odpowiedź wzmacnia wzorzec relational bez ujawniania archetypu użytkownikowi.,Estimated signal: this answer strengthens a relational pattern without exposing the user's archetype.,A03,100,3,3,24,14,6,16,13,3,4,3,2,9
TO99Q0014_A2,TO99Q0014,2,"Rozkładam sytuację na fakty, ryzyko i konsekwencje.","I break the situation into facts, risk and consequences.",analytical,0,-1,0,1.55,Szacowany sygnał: ta odpowiedź wzmacnia wzorzec analytical bez ujawniania archetypu użytkownikowi.,Estimated signal: this answer strengthens a analytical pattern without exposing the user's archetype.,A09,100,15,11,2,2,14,2,14,5,23,3,6,3
TO99Q0014_A3,TO99Q0014,3,"Wybieram ruch, który otwiera nową możliwość.",I choose the move that opens a new possibility.,bold,1,3,3,1.57,Szacowany sygnał: ta odpowiedź wzmacnia wzorzec bold bez ujawniania archetypu użytkownikowi.,Estimated signal: this answer strengthens a bold pattern without exposing the user's archetype.,A06,100,5,7,5,5,5,32,2,9,5,13,9,3
TO99Q0014_A4,TO99Q0014,4,"Zatrzymuję się przy obrazie, który we mnie zostaje.",I stay with the image that remains in me.,symbolic,-1,1,0,1.6,Szacowany sygnał: ta odpowiedź wzmacnia wzorzec symbolic bez ujawniania archetypu użytkownikowi.,Estimated signal: this answer strengthens a symbolic pattern without exposing the user's archetype.,A01,100,29,3,13,5,3,3,3,4,2,12,14,9
TO99Q0015_A1,TO99Q0015,1,Szukam odpowiedzi przez relację z współpracownik.,I look for the answer through my relationship with a coworker.,relational,1,0,2,1.45,Szacowany sygnał: ta odpowiedź wzmacnia wzorzec relational bez ujawniania archetypu użytkownikowi.,Estimated signal: this answer strengthens a relational pattern without exposing the user's archetype.,A12,100,1,4,16,13,5,2,12,2,3,13,3,26
TO99Q0015_A2,TO99Q0015,2,"Rozkładam sytuację na fakty, ryzyko i konsekwencje.","I break the situation into facts, risk and consequences.",analytical,0,-1,0,1.48,Szacowany sygnał: ta odpowiedź wzmacnia wzorzec analytical bez ujawniania archetypu użytkownikowi.,Estimated signal: this answer strengthens a analytical pattern without exposing the user's archetype.,A09,100,16,11,3,3,13,5,2,1,28,2,14,2
TO99Q0015_A3,TO99Q0015,3,"Wybieram ruch, który otwiera nową możliwość.",I choose the move that opens a new possibility.,bold,1,3,3,1.5,Szacowany sygnał: ta odpowiedź wzmacnia wzorzec bold bez ujawniania archetypu użytkownikowi.,Estimated signal: this answer strengthens a bold pattern without exposing the user's archetype.,A11,100,2,13,2,6,6,13,4,10,6,12,22,4
TO99Q0015_A4,TO99Q0015,4,"Zatrzymuję się przy obrazie, który we mnie zostaje.",I stay with the image that remains in me.,symbolic,-1,1,0,1.53,Szacowany sygnał: ta odpowiedź wzmacnia wzorzec symbolic bez ujawniania archetypu użytkownikowi.,Estimated signal: this answer strengthens a symbolic pattern without exposing the user's archetype.,A03,100,9,5,23,2,3,2,6,3,6,16,15,10
TO99Q0016_A1,TO99Q0016,1,Szukam odpowiedzi przez relację z mentor.,I look for the answer through my relationship with a mentor.,relational,1,0,2,1.03,Szacowany sygnał: ta odpowiedź wzmacnia wzorzec relational bez ujawniania archetypu użytkownikowi.,Estimated signal: this answer strengthens a relational pattern without exposing the user's archetype.,A04,100,2,6,11,34,5,7,7,3,6,2,5,12
TO99Q0016_A2,TO99Q0016,2,"Rozkładam sytuację na fakty, ryzyko i konsekwencje.","I break the situation into facts, risk and consequences.",analytical,0,-1,0,1.06,Szacowany sygnał: ta odpowiedź wzmacnia wzorzec analytical bez ujawniania archetypu użytkownikowi.,Estimated signal: this answer strengthens a analytical pattern without exposing the user's archetype.,A01,100,23,11,3,11,16,1,4,4,16,3,2,6
TO99Q0016_A3,TO99Q0016,3,"Wybieram ruch, który otwiera nową możliwość.",I choose the move that opens a new possibility.,bold,1,3,3,1.08,Szacowany sygnał: ta odpowiedź wzmacnia wzorzec bold bez ujawniania archetypu użytkownikowi.,Estimated signal: this answer strengthens a bold pattern without exposing the user's archetype.,A11,100,2,13,4,4,6,15,1,7,4,11,27,6
TO99Q0016_A4,TO99Q0016,4,"Zatrzymuję się przy obrazie, który we mnie zostaje.",I stay with the image that remains in me.,symbolic,-1,1,0,1.11,Szacowany sygnał: ta odpowiedź wzmacnia wzorzec symbolic bez ujawniania archetypu użytkownikowi.,Estimated signal: this answer strengthens a symbolic pattern without exposing the user's archetype.,A12,100,16,4,14,3,3,3,11,3,2,6,12,23
TO99Q0017_A1,TO99Q0017,1,Szukam odpowiedzi przez relację z najcichsza osoba w pokoju.,I look for the answer through my relationship with the quietest person in the room.,relational,1,0,2,1.55,Szacowany sygnał: ta odpowiedź wzmacnia wzorzec relational bez ujawniania archetypu użytkownikowi.,Estimated signal: this answer strengthens a relational pattern without exposing the user's archetype.,A03,100,3,2,31,11,5,11,8,6,6,3,3,11
TO99Q0017_A2,TO99Q0017,2,"Rozkładam sytuację na fakty, ryzyko i konsekwencje.","I break the situation into facts, risk and consequences.",analytical,0,-1,0,1.58,Szacowany sygnał: ta odpowiedź wzmacnia wzorzec analytical bez ujawniania archetypu użytkownikowi.,Estimated signal: this answer strengthens a analytical pattern without exposing the user's archetype.,A02,100,14,23,6,3,9,15,3,5,15,2,2,3
TO99Q0017_A3,TO99Q0017,3,"Wybieram ruch, który otwiera nową możliwość.",I choose the move that opens a new possibility.,bold,1,3,3,1.6,Szacowany sygnał: ta odpowiedź wzmacnia wzorzec bold bez ujawniania archetypu użytkownikowi.,Estimated signal: this answer strengthens a bold pattern without exposing the user's archetype.,A10,100,3,2,6,6,7,14,3,9,4,30,8,8
TO99Q0017_A4,TO99Q0017,4,"Zatrzymuję się przy obrazie, który we mnie zostaje.",I stay with the image that remains in me.,symbolic,-1,1,0,1.64,Szacowany sygnał: ta odpowiedź wzmacnia wzorzec symbolic bez ujawniania archetypu użytkownikowi.,Estimated signal: this answer strengthens a symbolic pattern without exposing the user's archetype.,A12,100,11,2,15,2,5,6,3,3,4,10,9,30
TO99Q0018_A1,TO99Q0018,1,Szukam odpowiedzi przez relację z przyjaciel.,I look for the answer through my relationship with a friend.,relational,1,0,2,1.22,Szacowany sygnał: ta odpowiedź wzmacnia wzorzec relational bez ujawniania archetypu użytkownikowi.,Estimated signal: this answer strengthens a relational pattern without exposing the user's archetype.,A12,100,5,4,7,12,5,3,13,4,3,13,3,28
TO99Q0018_A2,TO99Q0018,2,"Rozkładam sytuację na fakty, ryzyko i konsekwencje.","I break the situation into facts, risk and consequences.",analytical,0,-1,0,1.25,Szacowany sygnał: ta odpowiedź wzmacnia wzorzec analytical bez ujawniania archetypu użytkownikowi.,Estimated signal: this answer strengthens a analytical pattern without exposing the user's archetype.,A02,100,10,31,14,5,10,4,3,2,9,3,4,5
TO99Q0018_A3,TO99Q0018,3,"Wybieram ruch, który otwiera nową możliwość.",I choose the move that opens a new possibility.,bold,1,3,3,1.27,Szacowany sygnał: ta odpowiedź wzmacnia wzorzec bold bez ujawniania archetypu użytkownikowi.,Estimated signal: this answer strengthens a bold pattern without exposing the user's archetype.,A06,100,8,4,2,5,2,26,6,14,6,12,9,6
