id;version;content_type;rarity_tier;rarity_score;category;darkness_level;intimacy_level;psychological_intensity;prompt_pl;answer_type;answer_options_pl;axis_target;axis_delta_json;hidden_signal;reward_after_answer_pl;verification_type;moderation_level;paywall_weight;notes;reward_type;reward_intensity;community_reveal_type;profile_reveal_type;unlock_type;next_hook_pl;community_stat_seed_json;reward_sequence_json;sample_reward_screen_pl;prompt_en;answer_options_en;next_hook_en;reward_en;profile_fragment_en;archetype_hint_en;card_path;theme_category
TO99-0219;2.0;question;rare;55;identity;3;4;5;Is there a part of you that wants to be known, but makes it nearly impossible to get there?;choice;Yes | No | Somewhat;"Emotion;Guardedness";"{""emotion"": 5, ""guardedness"": 4}";"{""Emotion"":2,""security"":3}";;self_report;3;2;;profile_movement;4;percentage;visible;rare;What does that part protect itself from?;"{""primary_percent"":58,""secondary_percent"":28}";;;Is there a part of you that wants to be known, but makes it nearly impossible to get there?;Yes | No | Somewhat;What does that part protect itself from?;The longing and the wall can coexist for years.;Approach-avoidance conflict detected.;longing_vs_wall;Secret Human;identity
TO99-0220;2.0;question;rare;60;values;3;4;5;Do you ever feel guilty for wanting more than you already have?;choice;Often | Sometimes | Rarely;"Emotion;Independence";"{""emotion"": 5, ""independence"": 4}";"{""Emotion"":2,""independence"":1}";;self_report;3;2;;profile_movement;4;percentage;visible;rare;Where does that guilt come from?;"{""primary_percent"":48,""secondary_percent"":35}";;;Do you ever feel guilty for wanting more than you already have?;Often | Sometimes | Rarely;Where does that guilt come from?;Desire and guilt often share the same address.;Desire vs sufficiency tension.;desire_guilt;Hidden Contradiction;values
TO99-0221;2.0;question;rare;43;decisions;3;3;4;When something is clearly over, how long before you can accept it?;choice;Almost immediately | Weeks | Months or more;"Emotion;Security";"{""emotion"": 4, ""security"": 3}";"{""Emotion"":3,""security"":2}";;self_report;3;2;;profile_movement;4;percentage;visible;rare;What makes it harder to accept?;"{""primary_percent"":22,""secondary_percent"":40}";;;When something is clearly over, how long before you can accept it?;Almost immediately | Weeks | Months or more;What makes it harder to accept?;Acceptance timing is its own psychological map.;Loss processing speed noted.;acceptance_timing;Memory Trace;decisions
TO99-0222;2.0;question;rare;50;relationships;3;4;5;Is there someone you gave more than you should have, and part of you still doesn't regret it?;choice;Yes | No | It's complicated;"Emotion;Belonging";"{""emotion"": 5, ""belonging"": 4}";"{""Emotion"":3,""connection"":2}";;self_report;3;2;;profile_movement;4;percentage;visible;rare;What kept you giving?;"{""primary_percent"":55,""secondary_percent"":28}";;;Is there someone you gave more than you should have, and part of you still doesn't regret it?;Yes | No | It's complicated;What kept you giving?;Some choices defy rational accounting.;Unconditional giving pattern detected.;unconditional_giving;Social Mirror;relationships
TO99-0223;2.0;question;rare;58;identity;3;4;5;Have you ever done something purely for yourself and then felt ashamed of it?;choice;Yes | No | Not sure;"Emotion;Guardedness";"{""emotion"": 5, ""guardedness"": 4}";"{""Emotion"":2,""security"":1}";;self_report;3;2;;profile_movement;4;percentage;visible;rare;What made it feel wrong?;"{""primary_percent"":60,""secondary_percent"":30}";;;Have you ever done something purely for yourself and then felt ashamed of it?;Yes | No | Not sure;What made it feel wrong?;Selfishness is often a borrowed shame.;Self-permission pattern noted.;self_shame;Shadow Question;identity
TO99-0224;2.0;question;rare;46;fear;3;4;5;Do you ever feel like you're performing calm when you're actually scared?;choice;Often | Sometimes | Rarely;"Control;Guardedness";"{""control"": 5, ""guardedness"": 4}";"{""control"":2,""security"":2}";;self_report;3;2;;profile_movement;4;percentage;visible;rare;Who do you usually perform calm for?;"{""primary_percent"":52,""secondary_percent"":30}";;;Do you ever feel like you're performing calm when you're actually scared?;Often | Sometimes | Rarely;Who do you usually perform calm for?;Performed calm is a form of protection.;Emotional masking pattern noted.;calm_performance;Control Gate;fear
TO99-0225;2.0;question;rare;62;identity;3;4;5;Is there a version of yourself you only become when you're alone?;choice;Yes | No | Maybe;"Emotion;Openness";"{""emotion"": 5, ""openness"": 4}";"{""Emotion"":2,""independence"":2}";;self_report;3;2;;profile_movement;5;percentage;hidden;rare;What does that version want?;"{""primary_percent"":68,""secondary_percent"":20}";;;Is there a version of yourself you only become when you're alone?;Yes | No | Maybe;What does that version want?;The private self is often the truer one.;Private self detected.;private_self;Secret Human;identity
TO99-0226;2.0;question;rare;53;relationships;3;4;5;Do you know the moment you stopped trusting someone — the exact moment?;choice;Yes, clearly | Vaguely | No;"Emotion;Security";"{""emotion"": 5, ""security"": 4}";"{""Emotion"":3,""security"":2}";;self_report;3;2;;profile_movement;4;percentage;visible;rare;Was there a turning point or a slow erosion?;"{""primary_percent"":45,""secondary_percent"":42}";;;Do you know the moment you stopped trusting someone — the exact moment?;Yes, clearly | Vaguely | No;Was there a turning point or a slow erosion?;Trust loss is often a precise memory.;Trust rupture memory pattern.;trust_rupture;Memory Trace;relationships
TO99-0227;2.0;question;rare;47;decisions;3;3;4;When you imagine your future, is it something you're building or something you're waiting for?;choice;Building | Waiting | Unsure;"Curiosity;Future";"{""curiosity"": 4, ""future"": 3}";"{""curiosity"":2,""change"":2}";;self_report;3;2;;profile_movement;4;percentage;visible;rare;What is stopping the building part?;"{""primary_percent"":58,""secondary_percent"":28}";;;When you imagine your future, is it something you're building or something you're waiting for?;Building | Waiting | Unsure;What is stopping the building part?;Agency vs passivity in time orientation.;Future agency orientation noted.;future_agency;Future Self;decisions
TO99-0228;2.0;question;rare;56;morality;3;4;5;Have you ever been morally certain about something and then realized you were wrong?;choice;Yes | No | Not sure;"Emotion;Consistency";"{""emotion"": 5, ""consistency"": 4}";"{""Emotion"":2,""security"":1}";;self_report;3;2;;profile_movement;4;percentage;visible;rare;What changed your mind?;"{""primary_percent"":72,""secondary_percent"":18}";;;Have you ever been morally certain about something and then realized you were wrong?;Yes | No | Not sure;What changed your mind?;Moral revision is a sign of integrity.;Moral flexibility noted.;moral_revision;Moral Dilemma;morality
TO99-0229;2.0;question;rare;64;identity;3;4;5;Is the person you show most people closer to who you are, or who you think you should be?;choice;Who I am | Who I should be | Somewhere between;"Emotion;Guardedness";"{""emotion"": 5, ""guardedness"": 4}";"{""Emotion"":2,""security"":2}";;self_report;3;2;;profile_movement;5;percentage;hidden;rare;When did the gap appear?;"{""primary_percent"":38,""secondary_percent"":48}";;;Is the person you show most people closer to who you are, or who you think you should be?;Who I am | Who I should be | Somewhere between;When did the gap appear?;The gap between authentic and performed self.;Identity gap detected.;identity_gap;Hidden Contradiction;identity
TO99-0230;2.0;question;rare;42;fear;3;3;4;Does silence from someone you care about feel like peace or threat?;choice;Peace | Threat | Depends;"Emotion;Security";"{""emotion"": 4, ""security"": 3}";"{""Emotion"":2,""connection"":2}";;self_report;3;2;;profile_movement;3;percentage;visible;rare;What is your most common response?;"{""primary_percent"":35,""secondary_percent"":52}";;;Does silence from someone you care about feel like peace or threat?;Peace | Threat | Depends;What is your most common response?;Silence interpretation reveals attachment style.;Attachment pattern noted.;silence_interpretation;Shadow Question;fear
TO99-0231;2.0;question;epic;72;identity;4;5;6;Is there something about yourself that you have accepted but still grieve?;choice;Yes | No | Not consciously;"Emotion;Security";"{""emotion"": 6, ""security"": 5}";"{""Emotion"":3,""security"":3}";;self_report;4;3;;profile_movement;5;percentage;hidden;epic;What does grief sound like when it's quiet?;"{""primary_percent"":55,""secondary_percent"":28}";;;Is there something about yourself that you have accepted but still grieve?;Yes | No | Not consciously;What does grief sound like when it's quiet?;Acceptance and grief can coexist permanently.;Accepted loss pattern found.;accepted_grief;Shadow Question;identity
TO99-0232;2.0;question;epic;78;values;4;5;6;If you could erase one belief you hold, knowing it would make your life easier — would you?;choice;Yes | No | Depends which;"Emotion;Consistency";"{""emotion"": 6, ""consistency"": 5}";"{""Emotion"":2,""independence"":3}";;self_report;4;3;;profile_movement;5;percentage;hidden;epic;What belief do you most want to protect?;"{""primary_percent"":42,""secondary_percent"":45}";;;If you could erase one belief you hold, knowing it would make your life easier — would you?;Yes | No | Depends which;What belief do you most want to protect?;The beliefs we refuse to erase define us.;Core belief identified.;belief_sacrifice;Moral Dilemma;values
TO99-0233;2.0;question;epic;75;relationships;4;5;6;Is there a relationship you ended that you would handle differently now — not because you were wrong, but because you've changed?;choice;Yes | No | Not sure;"Emotion;Change";"{""emotion"": 6, ""change"": 5}";"{""Emotion"":3,""change"":3}";;self_report;4;3;;profile_movement;5;percentage;hidden;epic;What has changed in how you relate to people?;"{""primary_percent"":65,""secondary_percent"":22}";;;Is there a relationship you ended that you would handle differently now — not because you were wrong, but because you've changed?;Yes | No | Not sure;What has changed in how you relate to people?;Change doesn't undo the past — it just adds a new angle.;Relational evolution noted.;relational_evolution;Memory Trace;relationships
TO99-0234;2.0;question;epic;82;fear;4;5;7;Do you ever avoid thinking about something specific because it brings up something else entirely?;choice;Yes | No | Sometimes;"Emotion;Guardedness";"{""emotion"": 7, ""guardedness"": 6}";"{""Emotion"":3,""security"":3}";;self_report;4;3;;profile_movement;5;percentage;hidden;epic;What's hiding behind what you avoid?;"{""primary_percent"":62,""secondary_percent"":22}";;;Do you ever avoid thinking about something specific because it brings up something else entirely?;Yes | No | Sometimes;What's hiding behind what you avoid?;The true subject is rarely the surface subject.;Avoidance chain detected.;avoidance_chain;Shadow Question;fear
TO99-0235;2.0;question;epic;76;identity;4;5;6;Is there a version of yourself you've been slowly growing toward — that you don't tell anyone about?;choice;Yes | No | Not sure;"Emotion;Openness";"{""emotion"": 6, ""openness"": 5}";"{""change"":3,""curiosity"":2}";;self_report;4;3;;profile_movement;5;percentage;hidden;epic;What is that version like?;"{""primary_percent"":58,""secondary_percent"":28}";;;Is there a version of yourself you've been slowly growing toward — that you don't tell anyone about?;Yes | No | Not sure;What is that version like?;The quiet ambition of becoming.;Private development arc detected.;private_becoming;Future Self;identity
TO99-0236;2.0;question;epic;80;decisions;4;5;6;Have you ever made the right choice for the wrong reasons — and known it at the time?;choice;Yes | No | Not sure;"Emotion;Consistency";"{""emotion"": 6, ""consistency"": 5}";"{""Emotion"":2,""control"":2}";;self_report;4;3;;profile_movement;5;percentage;hidden;epic;Did the outcome change how you judge the decision?;"{""primary_percent"":55,""secondary_percent"":30}";;;Have you ever made the right choice for the wrong reasons — and known it at the time?;Yes | No | Not sure;Did the outcome change how you judge the decision?;Motivation and outcome don't always align.;Moral ambiguity in decision-making noted.;right_wrong_reason;Moral Dilemma;decisions
TO99-0237;2.0;question;epic;74;relationships;4;5;7;Is there something someone once said about you that you've spent years proving wrong — but you're not sure they were?;choice;Yes | No | Maybe;"Emotion;Consistency";"{""emotion"": 7, ""consistency"": 6}";"{""Emotion"":3,""security"":2}";;self_report;4;3;;profile_movement;5;percentage;hidden;epic;Who said it?;"{""primary_percent"":50,""secondary_percent"":32}";;;Is there something someone once said about you that you've spent years proving wrong — but you're not sure they were?;Yes | No | Maybe;Who said it?;Some wounds become compasses.;Defining criticism still active.;proving_wrong;Hidden Contradiction;relationships
TO99-0238;2.0;question;epic;86;identity;4;5;7;When you imagine being truly at peace with yourself — what is still unresolved in that image?;choice;A relationship | A past choice | Something I can't name;"Emotion;Security";"{""emotion"": 7, ""security"": 6}";"{""Emotion"":3,""change"":2}";;self_report;4;3;;profile_movement;5;percentage;hidden;epic;How close are you to that image?;"{""primary_percent"":32,""secondary_percent"":40}";;;When you imagine being truly at peace with yourself — what is still unresolved in that image?;A relationship | A past choice | Something I can't name;How close are you to that image?;The gap between peace and now.;Unresolved tension identified.;peace_vs_now;Threshold Card;identity
TO99-0239;2.0;question;epic;71;morality;4;4;6;Would you tell a hard truth if it would hurt someone who couldn't change the thing you were revealing?;choice;Yes | No | It depends;"Emotion;Logic";"{""emotion"": 6, ""logic"": 5}";"{""Emotion"":3,""control"":2}";;self_report;4;3;;profile_movement;5;percentage;visible;epic;What would you say to yourself after?;"{""primary_percent"":38,""secondary_percent"":45}";;;Would you tell a hard truth if it would hurt someone who couldn't change the thing you were revealing?;Yes | No | It depends;What would you say to yourself after?;Honesty without purpose is a different kind of act.;Purposeful truth-telling pattern.;purposeful_truth;Moral Dilemma;morality
TO99-0240;2.0;question;epic;77;fear;4;5;7;Is there something you worked very hard for that, once you had it, left you wondering if you wanted the right thing?;choice;Yes | No | Still figuring it out;"Emotion;Change";"{""emotion"": 7, ""change"": 6}";"{""Emotion"":3,""curiosity"":2}";;self_report;4;3;;profile_movement;5;percentage;hidden;epic;What did you want that you didn't realize?;"{""primary_percent"":55,""secondary_percent"":28}";;;Is there something you worked very hard for that, once you had it, left you wondering if you wanted the right thing?;Yes | No | Still figuring it out;What did you want that you didn't realize?;Achievement sometimes exposes its own limits.;Goal displacement detected.;goal_displacement;Risk Gate;fear
TO99-0241;2.0;question;legendary;92;identity;5;5;8;Is there something you would still choose, knowing everything it cost you?;choice;Yes | No | One thing, not all of it;"Emotion;Consistency";"{""emotion"": 8, ""consistency"": 7}";"{""Emotion"":4,""independence"":3}";;self_report;5;4;;profile_movement;6;percentage;hidden;legendary;What does that tell you about what matters most?;"{""primary_percent"":60,""secondary_percent"":25}";;;Is there something you would still choose, knowing everything it cost you?;Yes | No | One thing, not all of it;What does that tell you about what matters most?;What you would choose again is your truest value.;Core value under cost confirmed.;worth_the_cost;Threshold Card;identity
TO99-0242;2.0;question;legendary;95;identity;5;5;8;Is there a version of the life you could have had that still visits you?;choice;Often | Sometimes | It stopped visiting;"Emotion;Change";"{""emotion"": 8, ""change"": 7}";"{""Emotion"":4,""change"":3}";;self_report;5;4;;profile_movement;6;percentage;hidden;legendary;What keeps it alive?;"{""primary_percent"":52,""secondary_percent"":30}";;;Is there a version of the life you could have had that still visits you?;Often | Sometimes | It stopped visiting;What keeps it alive?;Unlived lives can define us from the inside.;Alternative life still present.;unlived_life;Threshold Card;regret
TO99-0243;2.0;question;legendary;98;morality;5;5;9;If you knew you would never be judged for it, would you live differently?;choice;Yes, significantly | A little | No;"Emotion;Independence";"{""emotion"": 9, ""independence"": 8}";"{""Emotion"":4,""independence"":4}";;self_report;5;4;;profile_movement;6;percentage;hidden;legendary;What would be the first thing you'd change?;"{""primary_percent"":65,""secondary_percent"":22}";;;If you knew you would never be judged for it, would you live differently?;Yes, significantly | A little | No;What would be the first thing you'd change?;The degree of change reveals how much you live for the audience.;External judgment dependency measured.;life_without_judgment;Threshold Card;morality
TO99-0244;2.0;secret;standard;15;identity;2;4;4;There's a habit I have that I've never explained to anyone.;choice;Yes, I have one | I'm not sure I do;"Emotion;Guardedness";"{""emotion"": 4, ""guardedness"": 3}";"{""Emotion"":1,""security"":1}";;self_report;2;1;;profile_movement;3;percentage;hidden;standard;What kind of habit tends to stay secret?;"{""primary_percent"":72,""secondary_percent"":28}";;;There's a habit I have that I've never explained to anyone.;Yes, I have one | I'm not sure I do;What kind of habit tends to stay secret?;Unexplained habits carry meaning.;Private habit detected.;private_habit;Secret Human;identity
TO99-0245;2.0;secret;standard;18;relationships;2;4;4;There is a person I've been comparing myself to for longer than I'd admit.;choice;Yes | No | Not consciously;"Emotion;Guardedness";"{""emotion"": 4, ""guardedness"": 3}";"{""Emotion"":2,""connection"":1}";;self_report;2;1;;profile_movement;3;percentage;hidden;standard;Does the comparison feel like competition or something else?;"{""primary_percent"":65,""secondary_percent"":35}";;;There is a person I've been comparing myself to for longer than I'd admit.;Yes | No | Not consciously;Does the comparison feel like competition or something else?;Long-running comparisons reveal hidden aspirations.;Social comparison active.;long_comparison;Secret Human;identity
TO99-0246;2.0;secret;standard;22;fear;3;4;5;Sometimes I say I don't care about something that I actually care deeply about.;choice;Often | Sometimes | Rarely;"Emotion;Guardedness";"{""emotion"": 5, ""guardedness"": 4}";"{""Emotion"":2,""security"":2}";;self_report;3;1;;profile_movement;3;percentage;hidden;standard;Why the distance?;"{""primary_percent"":62,""secondary_percent"":28}";;;Sometimes I say I don't care about something that I actually care deeply about.;Often | Sometimes | Rarely;Why the distance?;Claimed indifference is a form of self-protection.;Emotional distance pattern noted.;feigned_indifference;Shadow Question;fear
TO99-0247;2.0;secret;standard;20;identity;2;3;4;I have a story I tell about myself that is mostly true but not the whole truth.;choice;Yes | No | Maybe;"Emotion;Guardedness";"{""emotion"": 4, ""guardedness"": 3}";"{""Emotion"":1,""security"":2}";;self_report;2;1;;profile_movement;3;percentage;hidden;standard;What does the story leave out?;"{""primary_percent"":70,""secondary_percent"":30}";;;I have a story I tell about myself that is mostly true but not the whole truth.;Yes | No | Maybe;What does the story leave out?;The edited version is also a kind of truth.;Self-narrative detected.;partial_narrative;Secret Human;identity
TO99-0248;2.0;secret;rare;48;identity;3;5;6;I have imagined what people would say at my funeral — and felt something unexpected.;choice;Yes | No | I've avoided thinking about it;"Emotion;Security";"{""emotion"": 6, ""security"": 5}";"{""Emotion"":3,""change"":2}";;self_report;3;2;;profile_movement;4;percentage;hidden;rare;What was unexpected about it?;"{""primary_percent"":52,""secondary_percent"":28}";;;I have imagined what people would say at my funeral — and felt something unexpected.;Yes | No | I've avoided thinking about it;What was unexpected about it?;How we imagine our endings reveals what we value.;Legacy imagination detected.;funeral_imagination;Shadow Question;identity
TO99-0249;2.0;secret;rare;55;relationships;3;5;6;There is someone I have not forgiven — and I have told myself I have.;choice;Yes | No | I'm not sure;"Emotion;Security";"{""emotion"": 6, ""security"": 5}";"{""Emotion"":3,""security"":2}";;self_report;3;2;;profile_movement;4;percentage;hidden;rare;What would genuine forgiveness require?;"{""primary_percent"":58,""secondary_percent"":28}";;;There is someone I have not forgiven — and I have told myself I have.;Yes | No | I'm not sure;What would genuine forgiveness require?;Performed forgiveness protects something.;Hidden resentment detected.;performed_forgiveness;Secret Human;relationships
