question_id,language_pair_id,source_series,tier,mode,category_pl,category_en,question_pl,question_en,answer_type,primary_axis,secondary_axes,archetype_targets,archetype_oppositions,hidden_signal_targets,sensitivity_level,controversy_level,social_desirability_risk,rarity_weight,contradiction_pair_id,safety_label,statistic_source_label,reveal_template_ids,system_actions,hidden_events_policy,production_status,pattern_tags,pattern_signal_id,pattern_axis_direction,pattern_hidden_signal,pattern_confidence_weight,pattern_min_occurrences,reveal_dosing_policy,pattern_engine_status
Q0011,LP0011,v1,free,core,Pragmatyka,Pragmatics,"Gdy coś wydaje się interesujące, ale niepraktyczne, co robisz?","When something seems interesting but impractical, what do you do?",forced_choice,AX01,"[""AX07""]","[""A01"", ""A02"", ""A04"", ""A06"", ""A07"", ""A08""]","[""A03"", ""A05"", ""A09"", ""A10""]","[""HP01"", ""HP02""]",0,0,0,1.0,,neutral,estimated,"[""RV_AX01_11""]","[""skip_question"", ""swap_question"", ""return_to_menu""]",system_actions_only_not_answer_options,ready_mvp_v1,"[""safety_before_exploration"", ""exploration_before_certainty""]",AX01_pattern_probe,AX01:bidirectional,"[""HP01"", ""HP02""]",1.0,3,TIER_1 short answer reveal; TIER_2 pattern after 3-5 repeats; TIER_3 mini snapshot after 20-30 answers; TIER_4 profile snapshot at 51; TIER_5 premium depth.,pattern_ready_v2
Q0012,LP0012,v1,free,pressure,Presja,Pressure,W niepewności bardziej pomaga Ci zamknąć drzwi czy uchylić je jeszcze trochę?,"In uncertainty, does it help more to close the door or leave it slightly open?",forced_choice,AX01,"[""AX05""]","[""A01"", ""A04"", ""A06"", ""A07"", ""A08"", ""A11""]","[""A02"", ""A03"", ""A05"", ""A09""]","[""HP01"", ""HP02""]",1,1,1,1.5,,pressure,estimated,"[""RV_AX01_12""]","[""skip_question"", ""swap_question"", ""return_to_menu""]",system_actions_only_not_answer_options,ready_mvp_v1,"[""safety_before_exploration"", ""exploration_before_certainty""]",AX01_pattern_probe,AX01:bidirectional,"[""HP01"", ""HP02""]",1.0,3,TIER_1 short answer reveal; TIER_2 pattern after 3-5 repeats; TIER_3 mini snapshot after 20-30 answers; TIER_4 profile snapshot at 51; TIER_5 premium depth.,pattern_ready_v2
Q0013,LP0013,v1,free,core,Decyzje,Decisions,"Kiedy masz mało informacji, jak wolisz ruszyć dalej?","When you have little information, how do you prefer to move forward?",forced_choice,AX01,"[""AX04""]","[""A01"", ""A02"", ""A04"", ""A06"", ""A07"", ""A08""]","[""A03"", ""A05"", ""A09"", ""A10""]","[""HP01"", ""HP02""]",0,0,0,1.0,,neutral,estimated,"[""RV_AX01_13""]","[""skip_question"", ""swap_question"", ""return_to_menu""]",system_actions_only_not_answer_options,ready_mvp_v1,"[""safety_before_exploration"", ""exploration_before_certainty""]",AX01_pattern_probe,AX01:bidirectional,"[""HP01"", ""HP02""]",1.0,3,TIER_1 short answer reveal; TIER_2 pattern after 3-5 repeats; TIER_3 mini snapshot after 20-30 answers; TIER_4 profile snapshot at 51; TIER_5 premium depth.,pattern_ready_v2
Q0014,LP0014,v1,free,core,Codzienność,Daily life,"Gdy rutyna działa, ale przestaje Cię ożywiać, co częściej wybierasz?","When routine works but stops making you feel alive, what do you choose more often?",forced_choice,AX01,"[""AX08""]","[""A01"", ""A02"", ""A04"", ""A06"", ""A07"", ""A08""]","[""A03"", ""A05"", ""A09"", ""A10""]","[""HP01"", ""HP02""]",1,0,1,1.5,,self_reflection,estimated,"[""RV_AX01_14""]","[""skip_question"", ""swap_question"", ""return_to_menu""]",system_actions_only_not_answer_options,ready_mvp_v1,"[""safety_before_exploration"", ""exploration_before_certainty""]",AX01_pattern_probe,AX01:bidirectional,"[""HP01"", ""HP02""]",1.0,3,TIER_1 short answer reveal; TIER_2 pattern after 3-5 repeats; TIER_3 mini snapshot after 20-30 answers; TIER_4 profile snapshot at 51; TIER_5 premium depth.,pattern_ready_v2
Q0015,LP0015,v1,free,core,Rozwój,Growth,"Jeśli możesz nauczyć się czegoś trudnego albo zostać przy tym, co znasz, gdzie idzie Twoja energia?","If you can learn something difficult or stay with what you know, where does your energy go?",forced_choice,AX01,"[""AX07""]","[""A01"", ""A02"", ""A04"", ""A06"", ""A07"", ""A08""]","[""A03"", ""A05"", ""A09"", ""A10""]","[""HP01"", ""HP02""]",0,0,0,1.0,,neutral,estimated,"[""RV_AX01_15""]","[""skip_question"", ""swap_question"", ""return_to_menu""]",system_actions_only_not_answer_options,ready_mvp_v1,"[""safety_before_exploration"", ""exploration_before_certainty""]",AX01_pattern_probe,AX01:bidirectional,"[""HP01"", ""HP02""]",1.0,3,TIER_1 short answer reveal; TIER_2 pattern after 3-5 repeats; TIER_3 mini snapshot after 20-30 answers; TIER_4 profile snapshot at 51; TIER_5 premium depth.,pattern_ready_v2
Q0016,LP0016,v1,free,core,Emocje,Emotion,"Kiedy wybór wydaje się bezpieczny, ale nudny, co czujesz mocniej?","When a choice feels safe but dull, what do you feel more strongly?",forced_choice,AX01,"[""AX02""]","[""A01"", ""A02"", ""A04"", ""A06"", ""A07"", ""A08""]","[""A03"", ""A05"", ""A09"", ""A10""]","[""HP01"", ""HP02""]",1,0,1,1.5,,self_reflection,estimated,"[""RV_AX01_16""]","[""skip_question"", ""swap_question"", ""return_to_menu""]",system_actions_only_not_answer_options,ready_mvp_v1,"[""safety_before_exploration"", ""exploration_before_certainty""]",AX01_pattern_probe,AX01:bidirectional,"[""HP01"", ""HP02""]",1.0,3,TIER_1 short answer reveal; TIER_2 pattern after 3-5 repeats; TIER_3 mini snapshot after 20-30 answers; TIER_4 profile snapshot at 51; TIER_5 premium depth.,pattern_ready_v2
Q0017,LP0017,v1,free,relationship,Relacje,Relationships,"Gdy ktoś zaprasza Cię do czegoś, czego nigdy nie robiłeś, co jest pierwszym filtrem?","When someone invites you into something you have never done, what is your first filter?",forced_choice,AX01,"[""AX03""]","[""A01"", ""A02"", ""A04"", ""A06"", ""A07"", ""A08""]","[""A03"", ""A05"", ""A09"", ""A10""]","[""HP01"", ""HP02""]",1,1,1,1.5,,relationship,estimated,"[""RV_AX01_17""]","[""skip_question"", ""swap_question"", ""return_to_menu""]",system_actions_only_not_answer_options,ready_mvp_v1,"[""safety_before_exploration"", ""exploration_before_certainty""]",AX01_pattern_probe,AX01:bidirectional,"[""HP01"", ""HP02""]",1.0,3,TIER_1 short answer reveal; TIER_2 pattern after 3-5 repeats; TIER_3 mini snapshot after 20-30 answers; TIER_4 profile snapshot at 51; TIER_5 premium depth.,pattern_ready_v2
Q0018,LP0018,v1,free,core,Praca,Work,Przy nieznanym zadaniu bardziej szukasz instrukcji czy własnego wejścia?,"With an unfamiliar task, do you look more for instructions or for your own entry point?",forced_choice,AX01,"[""AX10""]","[""A01"", ""A02"", ""A04"", ""A06"", ""A07"", ""A08""]","[""A03"", ""A05"", ""A09"", ""A10""]","[""HP01"", ""HP02""]",0,0,0,1.0,,neutral,estimated,"[""RV_AX01_18""]","[""skip_question"", ""swap_question"", ""return_to_menu""]",system_actions_only_not_answer_options,ready_mvp_v1,"[""safety_before_exploration"", ""exploration_before_certainty""]",AX01_pattern_probe,AX01:bidirectional,"[""HP01"", ""HP02""]",1.0,3,TIER_1 short answer reveal; TIER_2 pattern after 3-5 repeats; TIER_3 mini snapshot after 20-30 answers; TIER_4 profile snapshot at 51; TIER_5 premium depth.,pattern_ready_v2
Q0019,LP0019,v1,free,core,Codzienność,Daily life,"Gdy masz wolny dzień, co częściej przyciąga Twoją uwagę?","When you have a free day, what draws your attention more often?",forced_choice,AX01,"[""AX05""]","[""A01"", ""A04"", ""A06"", ""A07"", ""A08"", ""A11""]","[""A02"", ""A03"", ""A05"", ""A09""]","[""HP01"", ""HP02""]",0,0,0,1.0,,neutral,estimated,"[""RV_AX01_19""]","[""skip_question"", ""swap_question"", ""return_to_menu""]",system_actions_only_not_answer_options,ready_mvp_v1,"[""safety_before_exploration"", ""exploration_before_certainty""]",AX01_pattern_probe,AX01:bidirectional,"[""HP01"", ""HP02""]",1.0,3,TIER_1 short answer reveal; TIER_2 pattern after 3-5 repeats; TIER_3 mini snapshot after 20-30 answers; TIER_4 profile snapshot at 51; TIER_5 premium depth.,pattern_ready_v2
Q0020,LP0020,v1,free,diagnostic,Cień,Shadow,"Kiedy czujesz opór przed nowym, jak go traktujesz?","When you feel resistance toward something new, how do you treat it?",forced_choice,AX01,"[""AX08""]","[""A01"", ""A02"", ""A04"", ""A06"", ""A07"", ""A08""]","[""A03"", ""A05"", ""A09"", ""A10""]","[""HP01"", ""HP02""]",1,0,1,1.5,CP001,self_reflection,estimated,"[""RV_AX01_20""]","[""skip_question"", ""swap_question"", ""return_to_menu""]",system_actions_only_not_answer_options,ready_mvp_v1,"[""safety_before_exploration"", ""exploration_before_certainty""]",AX01_pattern_probe,AX01:bidirectional,"[""HP01"", ""HP02""]",1.0,3,TIER_1 short answer reveal; TIER_2 pattern after 3-5 repeats; TIER_3 mini snapshot after 20-30 answers; TIER_4 profile snapshot at 51; TIER_5 premium depth.,pattern_ready_v2
Q0021,LP0021,v1,free,pressure,Presja,Pressure,"Gdy ktoś mówi, że zmiana może się nie udać, co robisz w środku?","When someone says a change may fail, what happens inside you?",forced_choice,AX01,"[""AX06""]","[""A01"", ""A04"", ""A06"", ""A07"", ""A08"", ""A11""]","[""A02"", ""A03"", ""A05"", ""A09""]","[""HP01"", ""HP02""]",1,1,1,1.5,,pressure,estimated,"[""RV_AX01_21""]","[""skip_question"", ""swap_question"", ""return_to_menu""]",system_actions_only_not_answer_options,ready_mvp_v1,"[""safety_before_exploration"", ""exploration_before_certainty""]",AX01_pattern_probe,AX01:bidirectional,"[""HP01"", ""HP02""]",1.0,3,TIER_1 short answer reveal; TIER_2 pattern after 3-5 repeats; TIER_3 mini snapshot after 20-30 answers; TIER_4 profile snapshot at 51; TIER_5 premium depth.,pattern_ready_v2
Q0022,LP0022,v1,free,core,Stabilność,Stability,"Kiedy wszystko jest stabilne, co częściej pojawia się po czasie?","When everything is stable, what tends to appear after a while?",forced_choice,AX01,"[""AX08""]","[""A01"", ""A02"", ""A04"", ""A06"", ""A07"", ""A08""]","[""A03"", ""A05"", ""A09"", ""A10""]","[""HP01"", ""HP02""]",0,0,0,1.0,,neutral,estimated,"[""RV_AX01_22""]","[""skip_question"", ""swap_question"", ""return_to_menu""]",system_actions_only_not_answer_options,ready_mvp_v1,"[""safety_before_exploration"", ""exploration_before_certainty""]",AX01_pattern_probe,AX01:bidirectional,"[""HP01"", ""HP02""]",1.0,3,TIER_1 short answer reveal; TIER_2 pattern after 3-5 repeats; TIER_3 mini snapshot after 20-30 answers; TIER_4 profile snapshot at 51; TIER_5 premium depth.,pattern_ready_v2
Q0023,LP0023,v1,free,core,Przyszłość,Future,W rozmowie o przyszłości wolisz najpierw nazwać zagrożenia czy możliwości?,"In a conversation about the future, do you first name threats or possibilities?",forced_choice,AX01,"[""AX05""]","[""A01"", ""A04"", ""A06"", ""A07"", ""A08"", ""A11""]","[""A02"", ""A03"", ""A05"", ""A09""]","[""HP01"", ""HP02""]",0,0,0,1.0,,neutral,estimated,"[""RV_AX01_23""]","[""skip_question"", ""swap_question"", ""return_to_menu""]",system_actions_only_not_answer_options,ready_mvp_v1,"[""safety_before_exploration"", ""exploration_before_certainty""]",AX01_pattern_probe,AX01:bidirectional,"[""HP01"", ""HP02""]",1.0,3,TIER_1 short answer reveal; TIER_2 pattern after 3-5 repeats; TIER_3 mini snapshot after 20-30 answers; TIER_4 profile snapshot at 51; TIER_5 premium depth.,pattern_ready_v2
Q0024,LP0024,v1,free,core,Ciekawość,Curiosity,"Kiedy coś wydaje się dziwne, co robisz?","When something feels strange, what do you do?",forced_choice,AX01,"[""AX02""]","[""A01"", ""A02"", ""A04"", ""A06"", ""A07"", ""A08""]","[""A03"", ""A05"", ""A09"", ""A10""]","[""HP01"", ""HP02""]",0,0,0,1.0,,neutral,estimated,"[""RV_AX01_24""]","[""skip_question"", ""swap_question"", ""return_to_menu""]",system_actions_only_not_answer_options,ready_mvp_v1,"[""safety_before_exploration"", ""exploration_before_certainty""]",AX01_pattern_probe,AX01:bidirectional,"[""HP01"", ""HP02""]",1.0,3,TIER_1 short answer reveal; TIER_2 pattern after 3-5 repeats; TIER_3 mini snapshot after 20-30 answers; TIER_4 profile snapshot at 51; TIER_5 premium depth.,pattern_ready_v2
Q0025,LP0025,v1,free,core,Wybór,Choice,"Gdy możesz wybrać sprawdzoną drogę albo boczną ścieżkę, co bardziej Cię woła?","When you can choose a proven road or a side path, what calls you more?",forced_choice,AX01,"[""AX04""]","[""A01"", ""A02"", ""A04"", ""A06"", ""A07"", ""A08""]","[""A03"", ""A05"", ""A09"", ""A10""]","[""HP01"", ""HP02""]",0,0,0,1.0,,neutral,estimated,"[""RV_AX01_25""]","[""skip_question"", ""swap_question"", ""return_to_menu""]",system_actions_only_not_answer_options,ready_mvp_v1,"[""safety_before_exploration"", ""exploration_before_certainty""]",AX01_pattern_probe,AX01:bidirectional,"[""HP01"", ""HP02""]",1.0,3,TIER_1 short answer reveal; TIER_2 pattern after 3-5 repeats; TIER_3 mini snapshot after 20-30 answers; TIER_4 profile snapshot at 51; TIER_5 premium depth.,pattern_ready_v2
Q0026,LP0026,v1,free,core,Start,Start,"Kiedy zaczynasz coś nowego, co chcesz mieć wcześniej?","When you start something new, what do you want to have first?",forced_choice,AX01,"[""AX06""]","[""A01"", ""A04"", ""A06"", ""A07"", ""A08"", ""A11""]","[""A02"", ""A03"", ""A05"", ""A09""]","[""HP01"", ""HP02""]",0,0,0,1.0,,neutral,estimated,"[""RV_AX01_26""]","[""skip_question"", ""swap_question"", ""return_to_menu""]",system_actions_only_not_answer_options,ready_mvp_v1,"[""safety_before_exploration"", ""exploration_before_certainty""]",AX01_pattern_probe,AX01:bidirectional,"[""HP01"", ""HP02""]",1.0,3,TIER_1 short answer reveal; TIER_2 pattern after 3-5 repeats; TIER_3 mini snapshot after 20-30 answers; TIER_4 profile snapshot at 51; TIER_5 premium depth.,pattern_ready_v2
Q0027,LP0027,v1,free,core,Niepewność,Uncertainty,"Gdy odpowiedź nie jest oczywista, co bardziej Cię uspokaja?","When the answer is not obvious, what calms you more?",forced_choice,AX01,"[""AX02""]","[""A01"", ""A02"", ""A04"", ""A06"", ""A07"", ""A08""]","[""A03"", ""A05"", ""A09"", ""A10""]","[""HP01"", ""HP02""]",0,0,0,1.0,,neutral,estimated,"[""RV_AX01_27""]","[""skip_question"", ""swap_question"", ""return_to_menu""]",system_actions_only_not_answer_options,ready_mvp_v1,"[""safety_before_exploration"", ""exploration_before_certainty""]",AX01_pattern_probe,AX01:bidirectional,"[""HP01"", ""HP02""]",1.0,3,TIER_1 short answer reveal; TIER_2 pattern after 3-5 repeats; TIER_3 mini snapshot after 20-30 answers; TIER_4 profile snapshot at 51; TIER_5 premium depth.,pattern_ready_v2
Q0028,LP0028,v1,free,pressure,Ryzyko,Risk,W sytuacji bez gwarancji wolisz minimalizować stratę czy sprawdzić potencjał?,"In a situation without guarantees, do you prefer to minimize loss or test potential?",forced_choice,AX01,"[""AX07""]","[""A01"", ""A02"", ""A04"", ""A06"", ""A07"", ""A08""]","[""A03"", ""A05"", ""A09"", ""A10""]","[""HP01"", ""HP02""]",1,1,1,1.5,,pressure,estimated,"[""RV_AX01_28""]","[""skip_question"", ""swap_question"", ""return_to_menu""]",system_actions_only_not_answer_options,ready_mvp_v1,"[""safety_before_exploration"", ""exploration_before_certainty""]",AX01_pattern_probe,AX01:bidirectional,"[""HP01"", ""HP02""]",1.0,3,TIER_1 short answer reveal; TIER_2 pattern after 3-5 repeats; TIER_3 mini snapshot after 20-30 answers; TIER_4 profile snapshot at 51; TIER_5 premium depth.,pattern_ready_v2
Q0029,LP0029,v1,free,core,Rozwój,Growth,"Gdy czujesz, że coś Cię rozwija, ale destabilizuje, co jest ważniejsze?","When something develops you but destabilizes you, what matters more?",forced_choice,AX01,"[""AX08""]","[""A01"", ""A02"", ""A04"", ""A06"", ""A07"", ""A08""]","[""A03"", ""A05"", ""A09"", ""A10""]","[""HP01"", ""HP02""]",1,0,1,1.5,,self_reflection,estimated,"[""RV_AX01_29""]","[""skip_question"", ""swap_question"", ""return_to_menu""]",system_actions_only_not_answer_options,ready_mvp_v1,"[""safety_before_exploration"", ""exploration_before_certainty""]",AX01_pattern_probe,AX01:bidirectional,"[""HP01"", ""HP02""]",1.0,3,TIER_1 short answer reveal; TIER_2 pattern after 3-5 repeats; TIER_3 mini snapshot after 20-30 answers; TIER_4 profile snapshot at 51; TIER_5 premium depth.,pattern_ready_v2
Q0030,LP0030,v1,free,core,Wewnętrzny głos,Inner voice,"Kiedy pojawia się nieznane, co najczęściej mówisz sobie pierwsze?","When the unknown appears, what do you usually tell yourself first?",forced_choice,AX01,"[""AX04""]","[""A01"", ""A02"", ""A04"", ""A06"", ""A07"", ""A08""]","[""A03"", ""A05"", ""A09"", ""A10""]","[""HP01"", ""HP02""]",1,0,1,1.5,,self_reflection,estimated,"[""RV_AX01_30""]","[""skip_question"", ""swap_question"", ""return_to_menu""]",system_actions_only_not_answer_options,ready_mvp_v1,"[""safety_before_exploration"", ""exploration_before_certainty""]",AX01_pattern_probe,AX01:bidirectional,"[""HP01"", ""HP02""]",1.0,3,TIER_1 short answer reveal; TIER_2 pattern after 3-5 repeats; TIER_3 mini snapshot after 20-30 answers; TIER_4 profile snapshot at 51; TIER_5 premium depth.,pattern_ready_v2
Q0031,LP0031,v1,free,core,Decyzje i emocje,Decisions and emotion,"Gdy musisz odpowiedzieć, zanim emocje opadną, co robisz najpierw?","When you have to answer before emotions settle, what do you do first?",forced_choice,AX02,"[""AX06""]","[""A02"", ""A03"", ""A04"", ""A05"", ""A08"", ""A09""]","[""A01"", ""A06"", ""A07"", ""A10""]","[""HP01"", ""HP03""]",0,0,0,1.0,,neutral,estimated,"[""RV_AX02_01""]","[""skip_question"", ""swap_question"", ""return_to_menu""]",system_actions_only_not_answer_options,ready_mvp_v1,"[""proof_before_feeling"", ""feeling_before_proof""]",AX02_pattern_probe,AX02:bidirectional,"[""HP01"", ""HP03""]",1.0,3,TIER_1 short answer reveal; TIER_2 pattern after 3-5 repeats; TIER_3 mini snapshot after 20-30 answers; TIER_4 profile snapshot at 51; TIER_5 premium depth.,pattern_ready_v2
